ad_group,keyword,match_type
"New Battery Sale","new car battery mumbai","phrase"
"New Battery Sale","car battery replacement near me","phrase"
"New Battery Sale","car battery shop near me","phrase"
"New Battery Sale","new battery sale andheri","phrase"
"New Battery Sale","car battery thane","phrase"
"New Battery Sale","car battery vashi","phrase"
"New Battery Sale","doorstep car battery replacement","phrase"
"Battery Jump Start","battery jump start mumbai","phrase"
"Battery Jump Start","battery jump start near me","phrase"
"Battery Jump Start","car battery jump start near me","phrase"
"Battery Jump Start","dead car battery help","phrase"
"Battery Jump Start","battery down car help mumbai","phrase"
"Battery Jump Start","jump start service andheri","phrase"
"Battery Jump Start","jump start service thane","phrase"
"Battery Jump Start","jump start service vashi","phrase"
"Towing","towing service mumbai","phrase"
"Towing","towing service near me","phrase"
"Towing","car towing near me","phrase"
"Towing","emergency towing mumbai","phrase"
"Towing","car towing andheri","phrase"
"Towing","car towing thane","phrase"
"Towing","car towing vashi","phrase"
"Towing","accident towing mumbai","phrase"
"Mechanic","car mechanic near me","phrase"
"Mechanic","car mechanic mumbai","phrase"
"Mechanic","car mechanic andheri","phrase"
"Mechanic","car mechanic thane","phrase"
"Mechanic","car mechanic vashi","phrase"
"Mechanic","roadside mechanic mumbai","phrase"
"Mechanic","emergency car mechanic","phrase"
"Mechanic","car not starting mechanic","phrase"
"Fuel Help","petrol delivery mumbai","phrase"
"Fuel Help","petrol delivery for car","phrase"
"Fuel Help","emergency fuel delivery","phrase"
"Fuel Help","car petrol finished help","phrase"
"Fuel Help","fuel delivery near me","phrase"
"Key Lock","car key lock service mumbai","phrase"
"Key Lock","car lockout help","phrase"
"Key Lock","keys locked inside car help","phrase"
"Key Lock","car door lock help near me","phrase"
"Tyre Stepney","stepney change near me","phrase"
"Tyre Stepney","stepney change mumbai","phrase"
"Tyre Stepney","flat tyre help near me","phrase"
"Tyre Stepney","puncture help mumbai","phrase"
"Tyre Stepney","tyre puncture roadside help","phrase"
"Breakdown Scenarios","car breakdown service mumbai","phrase"
"Breakdown Scenarios","roadside assistance mumbai","phrase"
"Breakdown Scenarios","roadside assistance near me","phrase"
"Breakdown Scenarios","basement parking car recovery","phrase"
"Breakdown Scenarios","late night car mechanic","phrase"
"Breakdown Scenarios","monsoon car breakdown help","phrase"
"Breakdown Scenarios","airport route car breakdown","phrase"
